Image,Entropy(bits),Avg_Gradient,Width,Height
./new_dataset/cal_val/raw/1047.jpg,7.5544,36.4715,1920,1080
./new_dataset/cal_val/raw/1049.jpg,7.5008,37.8778,1920,1080
./new_dataset/cal_val/raw/1052.jpg,7.5795,41.3881,1920,1080
./new_dataset/cal_val/raw/1054.jpg,7.6018,40.7650,1920,1080
./new_dataset/cal_val/raw/1056.jpg,7.6222,40.8975,1920,1080
./new_dataset/cal_val/raw/1058.jpg,7.5884,41.7209,1920,1080
./new_dataset/cal_val/raw/1060.jpg,7.6280,42.1372,1920,1080
./new_dataset/cal_val/raw/1063.jpg,7.6085,38.9314,1920,1080
./new_dataset/cal_val/raw/1065.jpg,7.5591,39.2096,1920,1080
./new_dataset/cal_val/raw/1067.jpg,7.6174,42.2882,1920,1080
./new_dataset/cal_val/raw/1069.jpg,7.5993,41.0836,1920,1080
./new_dataset/cal_val/raw/1074.jpg,6.9035,13.1893,1920,1080
./new_dataset/cal_val/raw/1076.jpg,7.6281,42.1318,1920,1080
./new_dataset/cal_val/raw/1078.jpg,7.5797,39.9749,1920,1080
./new_dataset/cal_val/raw/1080.jpg,7.4789,37.1745,1920,1080
./new_dataset/cal_val/raw/1082.jpg,7.5826,41.1531,1920,1080
