Image,Entropy(bits),Avg_Gradient,time/frame
0128_dehazed.png,7.6175,52.6228,0.0211
0129_dehazed.png,7.6145,52.5708,0.0234
0130_dehazed.png,7.6119,52.647,0.0295
0131_dehazed.png,7.6107,52.5291,0.0232
0132_dehazed.png,7.6108,52.2813,0.0245
0133_dehazed.png,7.6158,52.0355,0.0231
0134_dehazed.png,7.6129,52.0344,0.0197
0135_dehazed.png,7.6139,51.9578,0.0242
0136_dehazed.png,7.6143,52.0206,0.0204
0137_dehazed.png,7.6175,52.0681,0.0283
0138_dehazed.png,7.6169,52.2374,0.0288
0139_dehazed.png,7.6187,52.247,0.0235
0140_dehazed.png,7.6201,52.1837,0.0287
0141_dehazed.png,7.6216,52.1045,0.0265
0142_dehazed.png,7.6218,52.0606,0.0283
0143_dehazed.png,7.623,51.9806,0.0256
0144_dehazed.png,7.6254,51.913,0.0203
0145_dehazed.png,7.6275,51.8746,0.0217
0146_dehazed.png,7.6269,51.8371,0.0198
0147_dehazed.png,7.6235,51.604,0.0301
0148_dehazed.png,7.6219,51.4521,0.0248
0149_dehazed.png,7.6215,51.2987,0.0249
0150_dehazed.png,7.622,51.1946,0.0290
0151_dehazed.png,7.6192,50.8682,0.0196
0152_dehazed.png,7.618,50.7753,0.0229
0153_dehazed.png,7.6179,50.719,0.0276
0154_dehazed.png,7.6181,50.6709,0.0272
0155_dehazed.png,7.6192,50.6459,0.0246
0156_dehazed.png,7.6172,50.5411,0.0257
0157_dehazed.png,7.6199,50.2471,0.0273
0158_dehazed.png,7.6145,50.2112,0.0222
0159_dehazed.png,7.6124,50.2076,0.0191
0160_dehazed.png,7.6111,50.2235,0.0300
0161_dehazed.png,7.6096,50.1735,0.0221
0162_dehazed.png,7.607,50.1304,0.0236
0163_dehazed.png,7.6033,50.1001,0.0290
0164_dehazed.png,7.601,50.1219,0.0290
0165_dehazed.png,7.6002,50.0736,0.0280
0166_dehazed.png,7.5993,50.0437,0.0218
0167_dehazed.png,7.5995,50.0353,0.0280
0168_dehazed.png,7.5986,50.002,0.0196
0169_dehazed.png,7.6053,50.0661,0.0216
0170_dehazed.png,7.6026,50.058,0.0254
0171_dehazed.png,7.6032,50.0287,0.0258
0172_dehazed.png,7.6026,50.0455,0.0244
0173_dehazed.png,7.6032,50.0386,0.0242
0174_dehazed.png,7.6007,49.9949,0.0194
0175_dehazed.png,7.5997,50.0065,0.0200
0176_dehazed.png,7.597,49.8779,0.0287
0177_dehazed.png,7.5968,49.6968,0.0290
0178_dehazed.png,7.5975,49.7259,0.0220
0179_dehazed.png,7.5968,49.765,0.0299
0180_dehazed.png,7.5952,49.8065,0.0293
0181_dehazed.png,7.5993,49.9552,0.0226
0182_dehazed.png,7.5948,49.9177,0.0286
0183_dehazed.png,7.5926,49.8916,0.0191
0184_dehazed.png,7.59,49.9672,0.0266
0185_dehazed.png,7.5899,49.9732,0.0215
0186_dehazed.png,7.5891,49.892,0.0290
0187_dehazed.png,7.5894,49.8109,0.0250
0188_dehazed.png,7.5878,49.7422,0.0227
0189_dehazed.png,7.5881,49.7498,0.0254
0190_dehazed.png,7.5891,49.8048,0.0236
0191_dehazed.png,7.5882,49.8693,0.0272
0192_dehazed.png,7.5873,49.9163,0.0200
0193_dehazed.png,7.5938,50.1308,0.0250
0194_dehazed.png,7.5898,50.0741,0.0262
0195_dehazed.png,7.5886,50.0568,0.0266
0196_dehazed.png,7.5864,50.1078,0.0281
0197_dehazed.png,7.586,50.1606,0.0193
0198_dehazed.png,7.5845,50.1668,0.0227
0199_dehazed.png,7.5815,50.1819,0.0208
0200_dehazed.png,7.579,50.1931,0.0251
0201_dehazed.png,7.5768,50.1741,0.0255
0202_dehazed.png,7.574,50.2147,0.0269
0203_dehazed.png,7.5712,50.2174,0.0274
0204_dehazed.png,7.5673,50.2332,0.0193
0205_dehazed.png,7.5743,50.3417,0.0242
0206_dehazed.png,7.5694,50.3154,0.0204
0207_dehazed.png,7.5699,50.3758,0.0300
0208_dehazed.png,7.5683,50.3884,0.0254
0209_dehazed.png,7.5666,50.3643,0.0243
0210_dehazed.png,7.567,50.3091,0.0258
0211_dehazed.png,7.5674,50.3383,0.0248
0212_dehazed.png,7.5673,50.3937,0.0218
0213_dehazed.png,7.5666,50.4635,0.0262
0214_dehazed.png,7.5664,50.558,0.0254
0215_dehazed.png,7.5671,50.5936,0.0192
0216_dehazed.png,7.5671,50.6366,0.0203
0217_dehazed.png,7.5734,50.9635,0.0231
0218_dehazed.png,7.5683,50.8649,0.0291
0219_dehazed.png,7.5699,50.8212,0.0295
0220_dehazed.png,7.5688,50.8115,0.0281
0221_dehazed.png,7.5701,50.8143,0.0208
0222_dehazed.png,7.5705,50.8401,0.0213
0223_dehazed.png,7.5711,50.8892,0.0297
0224_dehazed.png,7.5717,50.9851,0.0220
0225_dehazed.png,7.574,51.152,0.0278
0226_dehazed.png,7.5743,51.1455,0.0239
0227_dehazed.png,7.5761,51.1326,0.0267
0228_dehazed.png,7.5777,51.1509,0.0279
0229_dehazed.png,7.5863,51.4152,0.0265
0230_dehazed.png,7.581,51.3382,0.0218
0231_dehazed.png,7.5822,51.3421,0.0230
0232_dehazed.png,7.5836,51.3125,0.0298
0233_dehazed.png,7.5844,51.3368,0.0234
0234_dehazed.png,7.5842,51.3121,0.0247
0235_dehazed.png,7.5846,51.2764,0.0259
0236_dehazed.png,7.584,51.2523,0.0202
0237_dehazed.png,7.585,51.2279,0.0213
0238_dehazed.png,7.5864,51.1832,0.0261
0239_dehazed.png,7.587,51.1487,0.0271
0240_dehazed.png,7.5885,51.1177,0.0215
0241_dehazed.png,7.5999,51.3908,0.0247
0242_dehazed.png,7.5968,51.3071,0.0221
0243_dehazed.png,7.5973,51.2557,0.0212
0244_dehazed.png,7.5981,51.2496,0.0211
0245_dehazed.png,7.6006,51.2456,0.0237
0246_dehazed.png,7.6011,51.2061,0.0212
0247_dehazed.png,7.6021,51.1397,0.0276
0248_dehazed.png,7.6015,51.0691,0.0280
0249_dehazed.png,7.6005,51.0108,0.0211
0250_dehazed.png,7.5977,51.0681,0.0198
0251_dehazed.png,7.5946,50.7975,0.0259
0252_dehazed.png,7.5938,50.7413,0.0260
0253_dehazed.png,7.5961,50.7366,0.0240
0254_dehazed.png,7.5938,50.6371,0.0299
0255_dehazed.png,7.5955,50.5207,0.0301
0256_dehazed.png,7.5973,50.4211,0.0191
0257_dehazed.png,7.5989,50.3266,0.0204
0258_dehazed.png,7.5992,50.2733,0.0236
0259_dehazed.png,7.5991,50.2781,0.0244
0260_dehazed.png,7.598,50.306,0.0254
0261_dehazed.png,7.5969,50.3216,0.0252
0262_dehazed.png,7.5968,50.2674,0.0300
0263_dehazed.png,7.5962,50.2572,0.0237
0264_dehazed.png,7.5966,50.1716,0.0216
0265_dehazed.png,7.597,50.152,0.0276
0266_dehazed.png,7.5939,50.0317,0.0246
0267_dehazed.png,7.5944,49.9167,0.0206
0268_dehazed.png,7.5931,49.714,0.0298
0269_dehazed.png,7.5927,49.5362,0.0300
0270_dehazed.png,7.5915,49.2808,0.0292
0271_dehazed.png,7.5948,49.0902,0.0193
0272_dehazed.png,7.5967,49.1471,0.0252
0273_dehazed.png,7.5991,49.237,0.0219
0274_dehazed.png,7.6,49.3425,0.0200
0275_dehazed.png,7.6022,49.4996,0.0233
0276_dehazed.png,7.6041,49.6148,0.0245
0277_dehazed.png,7.6062,49.782,0.0277
0278_dehazed.png,7.6031,49.7882,0.0241
0279_dehazed.png,7.6021,49.8105,0.0243
0280_dehazed.png,7.6019,49.8518,0.0278
